set Q := 
(0 , *) 1 , 32
(1 , *) 1 , 2
(2 , *) 1 , 4
(3 , *) 1 , 36
(4 , *) 1 , 38
(5 , *) 1 , 7
(6 , *) 1 , 9
(7 , *) 1 , 41
(8 , *) 1 , 43
(9 , *) 1 , 13
(10 , *) 1 , 15
(11 , *) 1 , 18
(12 , *) 1 , 20
(13 , *) 1 , 25
(14 , *) 1 , 27
(15 , *) 1 , 30
(16 , *) 2 , 3
(17 , *) 2 , 35
(18 , *) 2 , 37
(19 , *) 2 , 6
(20 , *) 2 , 8
(21 , *) 2 , 40
(22 , *) 2 , 42
(23 , *) 2 , 12
(24 , *) 2 , 14
(25 , *) 2 , 17
(26 , *) 2 , 19
(27 , *) 2 , 24
(28 , *) 2 , 26
(29 , *) 2 , 29
(30 , *) 2 , 31
(31 , *) 3 , 33
(32 , *) 3 , 36
(33 , *) 3 , 5
(34 , *) 3 , 7
(35 , *) 3 , 39
(36 , *) 3 , 41
(37 , *) 3 , 10
(38 , *) 3 , 44
(39 , *) 3 , 13
(40 , *) 3 , 16
(41 , *) 3 , 18
(42 , *) 3 , 21
(43 , *) 3 , 25
(44 , *) 3 , 28
(45 , *) 3 , 30
(46 , *) 4 , 33
(47 , *) 4 , 35
(48 , *) 4 , 5
(49 , *) 4 , 6
(50 , *) 4 , 39
(51 , *) 4 , 40
(52 , *) 4 , 10
(53 , *) 4 , 44
(54 , *) 4 , 12
(55 , *) 4 , 16
(56 , *) 4 , 17
(57 , *) 4 , 21
(58 , *) 4 , 24
(59 , *) 4 , 28
(60 , *) 4 , 29
(61 , *) 5 , 32
(62 , *) 5 , 37
(63 , *) 5 , 38
(64 , *) 5 , 8
(65 , *) 5 , 9
(66 , *) 5 , 42
(67 , *) 5 , 43
(68 , *) 5 , 14
(69 , *) 5 , 15
(70 , *) 5 , 19
(71 , *) 5 , 20
(72 , *) 5 , 26
(73 , *) 5 , 27
(74 , *) 5 , 31
(75 , *) 6 , 34
(76 , *) 6 , 36
(77 , *) 6 , 38
(78 , *) 6 , 11
(79 , *) 6 , 13
(80 , *) 6 , 45
(81 , *) 6 , 15
(82 , *) 6 , 22
(83 , *) 6 , 25
(84 , *) 6 , 27
(85 , *) 7 , 34
(86 , *) 7 , 35
(87 , *) 7 , 37
(88 , *) 7 , 11
(89 , *) 7 , 12
(90 , *) 7 , 45
(91 , *) 7 , 14
(92 , *) 7 , 22
(93 , *) 7 , 24
(94 , *) 7 , 26
(95 , *) 8 , 34
(96 , *) 8 , 36
(97 , *) 8 , 39
(98 , *) 8 , 11
(99 , *) 8 , 13
(100 , *) 8 , 45
(101 , *) 8 , 16
(102 , *) 8 , 22
(103 , *) 8 , 25
(104 , *) 8 , 28
(105 , *) 9 , 34
(106 , *) 9 , 35
(107 , *) 9 , 39
(108 , *) 9 , 11
(109 , *) 9 , 12
(110 , *) 9 , 45
(111 , *) 9 , 16
(112 , *) 9 , 22
(113 , *) 9 , 24
(114 , *) 9 , 28
(115 , *) 10 , 34
(116 , *) 10 , 37
(117 , *) 10 , 38
(118 , *) 10 , 11
(119 , *) 10 , 45
(120 , *) 10 , 14
(121 , *) 10 , 15
(122 , *) 10 , 22
(123 , *) 10 , 26
(124 , *) 10 , 27
(125 , *) 11 , 32
(126 , *) 11 , 33
(127 , *) 11 , 40
(128 , *) 11 , 41
(129 , *) 11 , 42
(130 , *) 11 , 43
(131 , *) 11 , 44
(132 , *) 11 , 17
(133 , *) 11 , 18
(134 , *) 11 , 19
(135 , *) 11 , 20
(136 , *) 11 , 21
(137 , *) 11 , 29
(138 , *) 11 , 30
(139 , *) 11 , 31
(140 , *) 12 , 32
(141 , *) 12 , 46
(142 , *) 12 , 23
(143 , *) 12 , 25
(144 , *) 12 , 27
(145 , *) 12 , 30
(146 , *) 13 , 46
(147 , *) 13 , 23
(148 , *) 13 , 24
(149 , *) 13 , 26
(150 , *) 13 , 29
(151 , *) 13 , 31
(152 , *) 14 , 33
(153 , *) 14 , 46
(154 , *) 14 , 23
(155 , *) 14 , 25
(156 , *) 14 , 28
(157 , *) 14 , 30
(158 , *) 15 , 33
(159 , *) 15 , 46
(160 , *) 15 , 23
(161 , *) 15 , 24
(162 , *) 15 , 28
(163 , *) 15 , 29
(164 , *) 16 , 32
(165 , *) 16 , 46
(166 , *) 16 , 23
(167 , *) 16 , 26
(168 , *) 16 , 27
(169 , *) 16 , 31
(170 , *) 17 , 25
(171 , *) 17 , 34
(172 , *) 17 , 27
(173 , *) 17 , 46
(174 , *) 17 , 23
(175 , *) 18 , 24
(176 , *) 18 , 34
(177 , *) 18 , 26
(178 , *) 18 , 46
(179 , *) 18 , 23
